sn,spp,mrca1,mrca2,position,source,,,
185,Aedes_Ochlerotatus_tahoensis,,,keep,S2017,,,
186,Aedes_Ochlerotatus_theobaldi,,,keep,S2017,,,
187,Aedes_Ochlerotatus_thibaulti,,,keep,S2017,,,
188,Aedes_Ochlerotatus_ventrovittis,,,keep,S2017,,,
189,Aedes_Ochlerotatus_vittiger,,,keep,S2017,,,
190,Aedes_Ochlerotatus_washinoi,Aedes_Ochlerotatus_increpitus,Aedes_Ochlerotatus_squamiger,0,S2023,,,
191,Aedes_OchlerotatusChrysoconops_bimaculatus,,,keep,S2017,,,
192,Aedes_OchlerotatusChrysoconops_fulvus,Aedes_OchlerotatusChrysoconops_pallens,Aedes_OchlerotatusChrysoconops_bimaculatus,0,S2023,,,
193,Aedes_OchlerotatusChrysoconops_pallens,,,keep,S2017,,,
194,Aedes_OchlerotatusChrysoconops_stigmaticus,Aedes_OchlerotatusChrysoconops_pallens,Aedes_OchlerotatusChrysoconops_bimaculatus,0,genbank,,,
195,Aedes_OchlerotatusCulicada_canadensis,,,keep,S2017,,,
196,Aedes_OchlerotatusCulicelsa_mitchellae,,,keep,S2017,,,
197,Aedes_OchlerotatusCulicelsa_nigromaculis,,,keep,S2017,,,
198,Aedes_OchlerotatusCulicelsa_sollicitans,,,keep,S2017,,,
199,Aedes_OchlerotatusCulicelsa_taeniorhynchus,,,keep,S2017,,,
200,Aedes_OchlerotatusEmpihals_vigilax,,,keep,S2017,,,
201,Aedes_OchlerotatusFinlayaSA_candidoscutellum,Aedes_OchlerotatusFinlayaSA_mallochi,Aedes_OchlerotatusFinlayaSA_eatoni,0,S2023,,,
202,Aedes_OchlerotatusFinlayaSA_eatoni,,,keep,S2017,,,
203,Aedes_OchlerotatusFinlayaSA_koreicoides,Aedes_OchlerotatusFinlayaSA_mallochi,Aedes_OchlerotatusFinlayaSA_eatoni,0,genbank,,,
204,Aedes_OchlerotatusFinlayaSA_mallochi,,,keep,S2017,,,
205,Aedes_OchlerotatusFinlayaSA_monocellatus,Aedes_OchlerotatusFinlayaSA_mallochi,Aedes_OchlerotatusFinlayaSA_eatoni,0,S2023,,,
206,Aedes_OchlerotatusFinlayaSA_oreophilus,,,keep,S2017,,,
207,Aedes_OchlerotatusGilesia_aculeatus,Aedes_Ochlerotatus_vittiger,Aedes_Ochlerotatus_sagax,0,S2023,,,
208,Aedes_OchlerotatusJuppius_caballus,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
